xw0,snr
-3.62608,0.00441944
-3.17727,0.00442963
-2.72847,0.00441479
-2.27966,0.00436513
-1.83086,0.00425868
-1.65139,0.00417324
-1.47185,0.00407708
-1.29235,0.00392991
-1.11285,0.00376124
-0.933345,0.00362196
-0.753874,0.00358023
-0.574339,0.00369241
-0.394837,0.00407168
-0.358943,0.00415358
-0.323048,0.00424378
-0.287153,0.00435938
-0.251259,0.00450236
-0.215364,0.00462503
-0.17947,0.00474012
-0.143576,0.00485447
-0.107682,0.00494879
-0.0717882,0.00499849
-0.0358941,0.00504104
0,0.00507226
0.0358941,0.00506828
0.0717882,0.00501394
0.107684,0.00494515
0.143578,0.00484729
0.179472,0.00470782
0.215366,0.00456881
0.25126,0.00443738
0.287154,0.00429649
0.323048,0.00416324
0.358943,0.00406524
0.394837,0.00397886
0.574339,0.00362727
0.753842,0.00353289
0.933346,0.00359023
1.11282,0.00372437
1.29229,0.00389111
1.47185,0.00404076
1.65136,0.00414978
1.83162,0.00424447
2.27967,0.00436329
2.72847,0.00440276
3.17727,0.00441015
3.62608,0.00441015
